user_id,name,age,gender,height_cm,weight_kg,goal,activity_level,steps_per_day,calories_intake,calories_burned,protein_intake_g,carbs_intake_g,fat_intake_g,water_intake_l,sleep_hours,workout_type,workout_duration_min,diet_type,body_fat_pct,heart_rate_avg,blood_pressure_sys,blood_pressure_dia,stress_level,mood,weekly_progress,trainer_assigned,membership_type,last_active_days,bmi
U0011,User11,58,Male,167.0,71.0,Maintain Fitness,Medium,13355,1755,166,106,293.0,91,1.9,7.3,Yoga,114,High Protein,18.6,100,115,72,4,Stressed,-2.2,Yes,Premium,39,25.46
U0012,User12,46,Male,172.0,48.0,Weight Loss,Medium,11595,1528,826,157,119.0,84,1.3,6.7,Strength,53,High Protein,20.6,91,131,89,1,Energetic,0.04,No,Premium,12,16.22
U0013,User13,18,Female,193.0,62.0,Weigh Loss,Low,15784,2835,395,122,114.0,89,1.8,6.0,Cardio,147,Vegan,9.7,93,138,94,5,Stressed,-1.58,Yes,Free,28,16.64
U0014,User14,64,Male,189.0,65.0,Weight Loss,Low,16945,3150,411,96,106.0,79,4.2,6.9,Mixed,29,Balanced,23.7,95,113,85,4,Energetic,1.57,No,Free,11,18.2
U0015,User15,23,Female,181.0,48.0,Weight Loss,High,5877,1412,457,48,122.0,82,1.5,4.6,Yoga,39,Balanced,30.1,62,137,94,5,Happy,0.23,No,Free,30,14.65
U0016,User16,30,Male,185.0,72.0,Maintain Fitness,meduim,7884,2896,355,156,344.0,46,1.2,8.7,Yoga,56,Vegan,26.5,84,131,85,5,Energetic,1.16,No,Free,22,21.04
U0017,User17,47,Female,193.0,94.0,Muscle Gain,Medium,4080,1816,438,149,108.0,92,4.0,7.5,Yoga,140,Balanced,33.2,71,131,73,4,Tired,-1.17,No,Free,22,25.24
U0018,User18,58,Female,169.0,61.0,Maintain Fitness,Medium,6927,2442,597,85,118.0,78,3.1,8.1,Strength,121,Vegan,27.6,65,137,89,1,Energetic,-0.36,Yes,Free,15,21.36
U0019,User19,37,Male,157.0,76.0,Maintain Fitness,Low,8486,1996,382,91,135.0,63,2.7,6.4,Strength,134,High Protein,9.5,83,113,86,5,Stressed,0.03,Yes,Premium,13,30.83
U0020,User20,26,Male,158.0,46.0,Maintain Fitness,High,3076,1592,561,146,360.0,20,1.5,6.3,Yoga,61,Vegan,29.8,88,141,94,4,Happy,-0.67,No,Free,16,18.43
U0021,User21,47,Male,161.0,67.0,Maintain Fitness,Low,6294,3062,925,120,393.0,33,4.4,7.2,Cardio,54,High Protein,18.8,91,126,91,2,Energetic,-2.73,No,Premium,22,25.85
U0022,User22,52,Male,176.0,68.0,Maintain Fitness,Medium,13810,1596,643,73,356.0,96,3.5,5.9,Mixed,58,Keto,33.2,103,108,77,3,Happy,2.06,No,Free,9,21.95
U0023,User23,62,Female,186.0,96.0,Muscle Gain,High,17722,2080,744,98,369.0,100,1.9,4.9,Strength,29,High Protein,24.0,98,131,91,4,Energetic,-0.4,Yes,Free,10,27.75
U0024,User24,26,mal,152.0,71.0,Weight Loss,High,5382,1642,658,151,262.0,97,2.1,7.2,Cardio,22,Vegan,9.4,76,118,68,3,Energetic,-0.63,Yes,Free,19,30.73
U0025,User25,37,Female,166.0,87.0,Maintain Fitness,Low,7697,1622,808,41,192.0,65,3.1,6.7,Mixed,30,Vegan,29.5,87,134,81,1,Happy,0.46,No,Free,39,31.57
U0026,User26,28,Female,150.0,84.0,Muscle Gain,Medium,5307,2662,666,148,390.0,67,4.2,4.4,Yoga,51,Balanced,34.9,74,143,68,2,Tired,0.8,Yes,Premium,3,37.33
U0027,User27,30,Male,158.0,107.0,Maintain Fitness,Medium,14129,2939,824,126,338.0,70,2.4,6.6,Cardio,119,High Protein,8.6,83,139,65,3,Energetic,0.59,No,Free,20,42.86
U0028,,49,Female,,,Weight Loss,Medium,6098,2314,479,33,,74,4.2,3.6,,97,Balanced,27.5,104,133,78,4,Stressed,-2.63,Yes,,39,40.04
U0029,User29,61,Female,151.0,101.0,Weight Loss,Medium,7083,3466,1070,143,218.0,99,2.6,9.1,Mixed,36,Vegan,10.6,62,110,80,1,Tired,0.81,No,Premium,12,44.3
U0030,User30,41,Male,151.0,55.0,Maintain Fitness,High,14134,1659,876,127,175.0,105,3.3,8.1,Cardio,84,Keto,33.4,59,109,67,1,Energetic,-2.37,Yes,Premium,41,24.12
U0031,User31,18,Female,192.0,47.0,Weight Loss,Medium,10321,2747,865,71,195.0,66,3.5,9.0,Cardio,116,Vegan,19.2,97,113,67,3,Happy,-2.02,Yes,Free,17,12.75
U0032,User32,59,Male,178.0,74.0,Weight Loss,High,5391,3018,555,93,369.0,32,3.3,4.9,Yoga,120,Vegan,10.0,102,134,73,1,Stressed,0.43,No,Free,36,23.36
U0033,User33,27,Female,176.0,47.0,Maintain Fitness,meduim,12412,1479,831,61,103.0,70,3.1,5.2,Yoga,109,Keto,33.5,93,106,68,2,Happy,2.07,Yes,Free,25,15.17
U0034,User34,26,Female,190.0,71.0,Muscle Gain,Medium,10911,3437,1118,50,193.0,53,1.2,6.4,Mixed,79,Balanced,23.6,99,126,88,5,Happy,-1.55,No,Premium,21,19.67
U0035,User35,54,Male,185.0,55.0,Weight Loss,High,16437,3296,1037,124,246.0,48,2.7,4.6,Strength,79,Vegan,15.6,96,140,66,2,Tired,1.45,No,Premium,13,16.07
U0036,User36,37,Male,171.0,95.0,Muscle Gain,Low,7732,3175,1130,84,375.0,96,3.0,5.5,Cardio,75,High Protein,22.3,79,108,88,1,Happy,2.91,Yes,Premium,25,32.49
U0037,User37,53,Female,173.0,66.0,Muscle Gain,Medium,4798,2941,980,80,366.0,96,2.9,3.6,Mixed,124,Balanced,16.0,71,108,70,3,Stressed,-1.47,No,Free,8,22.05
U0038,User38,46,Male,150.0,106.0,Weight Loss,Medium,4432,1500,276,159,268.0,64,1.7,5.8,Strength,71,High Protein,27.2,66,131,81,5,Energetic,-0.59,No,Free,30,47.11
U0039,User39,25,Female,170.0,65.0,Muscle Gain,Medium,14251,1880,801,129,308.0,104,2.2,9.0,Cardio,37,Keto,18.1,56,134,91,4,Happy,0.62,Yes,Free,18,22.49
U0040,User40,28,Female,171.0,47.0,Maintain Fitness,High,14887,3361,255,143,176.0,99,1.6,4.9,Cardio,26,Keto,10.2,104,119,73,2,Energetic,0.46,No,Free,40,16.07
U0041,,57,Female,,,Maintain Fitness,Low,9005,2894,468,40,,78,1.8,6.2,,38,High Protein,15.2,84,125,68,3,Energetic,-2.61,No,,34,16.38
U0042,User42,56,Female,187.0,100.0,Maintain Fitness,Medium,5907,2103,905,106,288.0,78,1.3,5.9,Cardio,62,Keto,13.8,84,144,70,4,Happy,1.19,Yes,Free,24,28.6
U0043,User43,64,Female,175.0,106.0,Weight Loss,High,2854,2012,568,84,128.0,30,3.2,7.1,Cardio,141,High Protein,8.1,73,142,88,1,Happy,-2.18,No,Free,19,34.61
U0044,User44,27,mal,182.0,86.0,Maintain Fitness,Medium,11125,3033,445,127,361.0,28,1.8,3.5,Cardio,26,Keto,25.8,83,142,74,1,Happy,0.99,No,Premium,23,25.96
U0045,,36,Male,,,Muscle Gain,High,11256,3118,665,34,,45,1.3,4.2,,140,Balanced,30.4,73,129,77,5,Stressed,1.62,No,,22,30.73
U0046,User46,25,Male,152.0,48.0,Maintain Fitness,Medium,6760,2970,495,113,109.0,58,1.3,9.3,Mixed,136,Keto,34.6,90,116,91,2,Energetic,-1.52,No,Free,0,20.78
U0047,,57,Male,,,Muscle Gain,High,16442,2100,920,109,,84,2.4,4.1,,69,Keto,16.9,75,141,75,4,Stressed,-2.83,No,,13,18.37
U0048,User48,33,Male,152.0,65.0,Weight Loss,High,12027,2744,926,103,264.0,106,3.9,3.8,Strength,44,Keto,15.5,62,117,72,5,Stressed,1.09,Yes,Premium,16,28.13
U0049,,62,Male,,,Weigh Loss,Medium,10540,3450,339,137,,50,1.5,9.2,,96,Keto,34.1,102,139,71,4,Happy,0.35,Yes,,21,31.56
U0050,User50,18,Female,176.0,89.0,Muscle Gain,Medium,16032,2905,382,69,131.0,103,3.5,9.4,Strength,100,Balanced,12.7,64,122,81,4,Tired,-1.72,Yes,Premium,36,28.73
U0051,User51,60,Male,176.0,62.0,Weight Loss,Medium,15351,2190,454,89,305.0,89,3.2,3.7,Mixed,97,High Protein,20.7,101,108,65,2,Happy,2.2,No,Free,42,20.02
U0052,User52,30,mal,156.0,94.0,Muscle Gain,High,12043,1563,333,83,271.0,119,2.2,4.2,Mixed,124,Balanced,10.4,92,120,65,1,Energetic,-0.3,No,Premium,40,38.63
U0053,User53,35,Female,193.0,82.0,Maintain Fitness,Medium,16514,1523,463,105,136.0,64,2.1,7.7,Cardio,100,Vegan,20.3,63,120,79,4,Energetic,-0.47,Yes,Premium,6,22.01
U0054,User54,29,Male,188.0,52.0,Maintain Fitness,High,15902,1412,987,35,207.0,52,4.3,4.5,Strength,44,Vegan,14.3,70,120,79,1,Stressed,0.03,Yes,Premium,39,14.71
U0055,User55,33,Female,175.0,83.0,Maintain Fitness,Medium,11311,1443,589,33,250.0,72,1.8,3.7,Cardio,42,Keto,27.4,75,137,91,2,Energetic,0.7,Yes,Free,41,27.1
U0056,User56,51,Female,180.0,54.0,Weight Loss,Medium,12904,2928,800,149,321.0,115,2.3,8.1,Strength,73,Balanced,19.0,81,125,74,2,Stressed,1.45,No,Premium,21,16.67
U0057,User57,47,Female,170.0,99.0,Weight Loss,High,16418,1865,698,144,257.0,94,2.3,4.2,Mixed,76,Vegan,29.5,100,106,85,5,Tired,-1.43,No,Free,11,34.26
U0058,User58,42,Female,170.0,64.0,Muscle Gain,Low,15457,3610,1128,71,375.0,81,1.7,6.6,Strength,128,Balanced,15.1,77,122,73,1,Tired,0.28,No,Premium,28,22.15
U0059,User59,54,Female,170.0,109.0,Weight Loss,High,15578,3045,626,81,350.0,103,1.5,6.3,Yoga,149,Keto,16.9,62,120,88,5,Energetic,2.23,Yes,Premium,13,37.72
U0060,,37,Female,,,Muscle Gain,Low,14344,2318,700,114,,57,4.4,3.9,,68,High Protein,30.8,86,115,85,1,Stressed,2.53,No,,10,39.16
U0061,User61,53,Male,157.0,69.0,Muscle Gain,Medium,10220,2998,366,117,250.0,40,3.5,3.6,Yoga,18,Keto,27.0,102,132,80,3,Energetic,0.89,Yes,Free,42,27.99
U0062,User62,48,Male,152.0,81.0,Weight Loss,Low,12663,3790,231,134,174.0,111,1.3,6.2,Strength,52,Balanced,30.1,83,122,71,3,Energetic,-1.24,No,Free,40,35.06
U0063,User63,28,Male,189.0,84.0,Maintain Fitness,High,11946,1823,901,89,168.0,50,3.2,5.7,Cardio,64,Keto,33.6,76,111,79,2,Happy,2.61,No,Premium,19,23.52
U0064,User64,57,mal,186.0,78.0,Muscle Gain,High,16170,1448,844,40,261.0,87,3.0,4.7,Mixed,59,High Protein,33.4,90,138,79,4,Energetic,0.13,No,Free,38,22.55
U0065,User65,38,Male,188.0,88.0,Weight Loss,meduim,5616,1438,796,103,397.0,99,1.3,8.9,Strength,140,Balanced,34.7,55,110,83,1,Tired,-1.35,No,Free,44,24.9
U0066,User66,45,Female,167.0,88.0,Muscle Gain,Medium,15632,2097,844,108,173.0,76,2.3,4.1,Yoga,35,Balanced,20.3,72,143,72,3,Happy,1.78,Yes,Free,33,31.55
U0067,User67,26,Male,151.0,61.0,Weight Loss,Low,8512,3007,352,44,159.0,47,2.7,4.1,Mixed,103,Balanced,27.7,74,135,87,4,Tired,1.0,No,Free,7,26.75
U0068,User68,40,Male,155.0,57.0,Muscle Gain,High,13571,1586,811,71,172.0,52,2.3,5.2,Cardio,67,Vegan,11.5,63,125,76,5,Energetic,2.5,Yes,Premium,19,23.73
U0069,User69,44,Male,157.0,105.0,Maintain Fitness,High,16788,3764,167,33,132.0,72,3.1,6.7,Strength,106,Keto,30.4,97,116,84,3,Tired,1.95,Yes,Premium,12,42.6
U0070,User70,41,Male,168.0,63.0,Weigh Loss,Low,8830,3522,811,45,383.0,20,2.8,7.3,Strength,98,Vegan,18.1,87,140,67,4,Energetic,-2.87,No,Free,43,22.32
U0071,User71,64,Female,159.0,84.0,Weight Loss,Low,13281,2440,351,153,309.0,115,3.4,9.3,Mixed,65,High Protein,32.7,98,108,93,4,Happy,-1.04,No,Premium,41,33.23
U0072,User72,55,Male,179.0,49.0,Maintain Fitness,Low,7506,1817,867,56,352.0,34,3.9,9.0,Strength,77,High Protein,17.5,72,139,94,5,Tired,1.96,No,Premium,16,15.29
U0073,User73,40,Female,155.0,63.0,Maintain Fitness,High,14892,3609,842,144,150.0,29,1.9,3.7,Strength,21,Keto,20.8,78,107,79,3,Tired,0.16,Yes,Free,11,26.22
U0074,User74,27,Male,177.0,47.0,Weight Loss,High,13034,2438,449,98,115.0,48,2.3,7.5,Mixed,52,Vegan,23.2,80,118,86,4,Energetic,-2.0,Yes,Free,22,15.0
U0075,User75,63,Female,186.0,50.0,Muscle Gain,High,2527,2252,206,112,348.0,43,3.7,6.6,Mixed,81,Balanced,14.1,63,120,81,2,Happy,-1.39,No,Free,33,14.45
U0076,User76,20,Female,177.0,56.0,Maintain Fitness,meduim,10441,2199,351,142,192.0,22,3.8,7.2,Mixed,144,Balanced,33.1,97,118,92,2,Energetic,2.13,No,Premium,5,17.87
U0077,User77,36,mal,192.0,88.0,Weight Loss,Medium,12340,2877,796,158,269.0,113,1.7,6.4,Cardio,105,Balanced,23.1,64,132,85,2,Energetic,1.73,No,Free,28,23.87
U0078,User78,46,Female,164.0,97.0,Muscle Gain,Medium,16222,2741,820,118,305.0,106,3.3,8.5,Yoga,33,Keto,25.0,102,129,84,4,Tired,-1.23,Yes,Free,15,36.06
U0079,User79,29,mal,171.0,89.0,Weight Loss,High,12618,2750,1039,83,164.0,27,4.3,9.3,Cardio,37,Vegan,10.3,95,123,80,4,Happy,-0.06,Yes,Premium,30,30.44
U0080,User80,28,Male,165.0,81.0,Muscle Gain,Medium,4315,1995,415,42,303.0,74,2.0,4.8,Strength,104,Keto,30.0,80,107,89,1,Tired,1.18,No,Free,16,29.75
U0081,User81,48,Female,183.0,78.0,Weight Loss,Low,14982,3102,655,94,122.0,30,1.2,7.4,Yoga,72,Vegan,11.5,71,109,68,3,Tired,-2.14,No,Free,17,23.29
U0082,User82,53,mal,191.0,49.0,Maintain Fitness,High,14288,2918,1086,150,327.0,68,3.2,6.7,Yoga,62,Balanced,16.9,77,142,66,3,Energetic,2.38,No,Premium,18,13.43
U0083,User83,46,Female,160.0,104.0,Maintain Fitness,Low,16810,1401,816,135,177.0,101,2.1,9.2,Strength,114,High Protein,17.9,84,129,80,4,Tired,-1.56,Yes,Free,42,40.62
U0084,User84,21,Male,182.0,91.0,Maintain Fitness,High,2063,2890,302,136,213.0,105,2.0,6.9,Cardio,39,High Protein,21.8,78,134,79,1,Happy,2.47,No,Free,15,27.47
U0085,User85,37,Male,175.0,65.0,Weight Loss,Low,6865,2064,804,62,235.0,89,1.4,8.2,Mixed,46,Vegan,28.6,72,129,81,4,Stressed,-1.28,Yes,Free,16,21.22
U0086,User86,38,Female,178.0,67.0,Maintain Fitness,Medium,12944,2325,492,111,131.0,119,3.3,4.1,Strength,15,Vegan,8.8,65,121,74,2,Tired,-0.31,No,Premium,40,21.15
U0087,User87,32,Male,159.0,93.0,Weight Loss,High,10222,2157,386,74,345.0,91,3.3,7.1,Strength,59,High Protein,26.1,99,105,92,2,Energetic,-1.33,No,Free,32,36.79
U0088,,23,mal,,,Muscle Gain,High,11103,3266,241,75,,107,2.4,8.4,,113,Keto,19.4,67,115,86,1,Tired,-2.32,No,,36,28.95
U0089,,23,Female,,,Weight Loss,Low,11522,2851,332,110,,98,4.5,8.6,,113,High Protein,19.5,65,107,68,3,Stressed,2.16,No,,6,22.31
U0090,User90,24,Female,157.0,63.0,Muscle Gain,Medium,12326,2457,674,145,376.0,84,4.1,4.1,Cardio,18,Keto,17.2,87,142,81,4,Stressed,-0.34,Yes,Free,31,25.56
U0091,User91,42,Female,166.0,84.0,Maintain Fitness,Medium,2243,1794,1102,61,201.0,95,1.6,5.0,Yoga,102,Vegan,10.4,80,107,84,3,Energetic,-0.44,Yes,Free,19,30.48
U0092,User92,57,Male,175.0,63.0,Weight Loss,Low,7234,3088,392,154,183.0,109,2.4,8.3,Cardio,46,Keto,25.9,104,122,79,5,Stressed,-0.73,No,Premium,19,20.57
U0093,User93,55,Female,168.0,91.0,Maintain Fitness,Medium,6550,2024,292,112,136.0,41,3.9,5.0,Cardio,40,Keto,21.0,69,137,90,5,Tired,1.93,Yes,Free,12,32.24
U0094,User94,64,Female,167.0,66.0,Maintain Fitness,Medium,13521,2749,481,42,233.0,114,4.3,6.2,Mixed,110,Balanced,32.8,92,105,72,3,Energetic,1.76,No,Free,35,23.67
U0095,User95,25,Female,158.0,67.0,Weight Loss,Low,16521,2699,1116,138,215.0,54,1.3,5.4,Strength,77,Balanced,17.1,90,136,90,5,Energetic,0.76,Yes,Free,9,26.84
U0096,User96,55,Male,190.0,95.0,Weigh Loss,Low,8189,3265,640,152,369.0,94,4.1,4.1,Mixed,143,Balanced,34.0,77,135,70,2,Stressed,2.01,No,Free,8,26.32
U0097,User97,22,Male,157.0,86.0,Maintain Fitness,High,4154,1455,409,111,388.0,29,4.4,9.4,Mixed,126,Balanced,18.4,101,106,71,5,Happy,1.97,No,Premium,6,34.89
U0098,User98,41,Female,150.0,55.0,Muscle Gain,Medium,3741,2514,1148,36,345.0,116,4.2,7.5,Mixed,93,High Protein,13.5,69,142,65,3,Tired,2.97,Yes,Premium,42,24.44
U0099,User99,53,Female,175.0,70.0,Muscle Gain,High,15080,3742,965,149,200.0,23,1.7,4.4,Mixed,44,Vegan,14.5,61,128,74,2,Stressed,-1.12,No,Free,36,22.86
U0100,User100,33,Male,173.0,55.0,Maintain Fitness,Medium,7365,3226,853,36,215.0,107,2.8,6.7,Strength,97,Keto,34.2,80,134,66,4,Tired,-1.31,No,Free,11,18.38
U0101,User101,52,Female,174.0,63.0,Maintain Fitness,Medium,11054,2545,593,98,236.0,101,2.4,6.2,Mixed,34,High Protein,15.9,85,141,81,5,Tired,0.79,No,Free,36,20.81
U0102,User102,21,mal,168.0,90.0,Muscle Gain,High,2873,3532,423,156,147.0,21,3.1,5.9,Cardio,129,Balanced,24.2,71,111,90,1,Stressed,-2.39,Yes,Premium,40,31.89
U0103,User103,36,Male,169.0,69.0,Weight Loss,Low,12555,3628,375,80,333.0,67,1.6,8.1,Strength,116,Vegan,32.9,78,109,92,4,Energetic,2.74,Yes,Free,44,24.16
U0104,User104,31,Female,153.0,75.0,Weigh Loss,Medium,6097,1837,928,50,168.0,70,1.7,5.2,Cardio,108,Vegan,18.6,70,107,83,3,Energetic,-0.8,Yes,Free,28,32.04
U0105,User105,64,Male,157.0,98.0,Weight Loss,Medium,15742,1989,697,119,301.0,63,2.9,7.5,Cardio,27,High Protein,19.1,95,121,67,5,Happy,2.14,Yes,Premium,44,39.76
U0106,User106,21,Female,167.0,65.0,Weight Loss,Low,8048,1933,1153,45,322.0,75,1.6,5.3,Strength,57,High Protein,8.4,75,124,75,4,Happy,-0.87,Yes,Free,44,23.31
U0107,User107,64,Female,192.0,59.0,Weight Loss,Low,17022,2533,508,125,161.0,79,1.7,6.2,Cardio,72,High Protein,20.7,58,141,68,5,Happy,2.58,Yes,Free,32,16.0
U0108,User108,55,Female,180.0,48.0,Maintain Fitness,Medium,17621,2427,406,117,271.0,37,2.9,8.3,Strength,122,High Protein,15.3,104,135,92,2,Energetic,1.83,Yes,Premium,17,14.81
U0109,User109,47,Female,175.0,109.0,Weight Loss,Low,8142,3290,551,92,169.0,71,3.2,8.7,Mixed,95,Balanced,27.4,65,118,85,2,Tired,2.78,No,Free,31,35.59
U0110,User110,40,Female,181.0,47.0,Muscle Gain,meduim,4516,2566,429,58,332.0,112,4.1,3.7,Strength,97,Vegan,32.7,91,120,67,5,Stressed,2.3,Yes,Free,8,14.35
U0111,User111,39,Female,158.0,66.0,Maintain Fitness,Medium,5231,3334,222,47,324.0,45,3.0,5.5,Strength,134,Keto,20.2,78,130,82,3,Stressed,-1.81,Yes,Free,43,26.44
U0112,User112,39,Female,166.0,96.0,Muscle Gain,Low,9650,2453,505,53,244.0,101,2.2,5.8,Cardio,100,Balanced,21.7,56,106,90,2,Energetic,-0.26,No,Free,26,34.84
U0113,User113,35,Female,164.0,92.0,Maintain Fitness,Medium,4135,1446,785,108,354.0,21,2.7,7.8,Strength,127,Keto,25.0,84,108,88,3,Energetic,-2.33,No,Free,20,34.21
U0114,User114,41,Female,173.0,59.0,Weight Loss,High,11778,2196,190,32,393.0,97,1.9,8.0,Mixed,142,Vegan,30.3,64,116,69,5,Energetic,-2.58,No,Premium,42,19.71
U0115,User115,61,Female,186.0,66.0,Weight Loss,Low,10288,2272,545,144,273.0,20,3.2,4.8,Cardio,54,Balanced,23.2,80,129,78,2,Energetic,0.71,Yes,Free,44,19.08
U0116,User116,48,Male,160.0,51.0,Weight Loss,Medium,16926,1990,984,145,132.0,113,2.0,7.1,Strength,146,Keto,11.4,85,112,65,5,Happy,-1.0,No,Free,33,19.92
U0117,User117,54,Female,156.0,46.0,Maintain Fitness,Low,11807,2304,1041,70,273.0,109,4.1,8.4,Cardio,71,High Protein,31.7,68,117,88,3,Happy,-0.6,Yes,Premium,39,18.9
U0118,User118,25,Male,169.0,95.0,Weight Loss,Low,5851,2823,521,87,307.0,73,2.1,4.3,Cardio,102,Keto,27.0,78,110,65,2,Tired,0.36,Yes,Premium,6,33.26
U0119,User119,38,Female,175.0,76.0,Weight Loss,Medium,17718,3169,432,113,297.0,105,2.2,3.8,Cardio,90,Vegan,30.5,93,124,92,3,Tired,1.64,No,Free,27,24.82
U0120,User120,45,Female,164.0,55.0,Weight Loss,High,9212,3432,825,115,108.0,73,1.2,5.3,Strength,86,High Protein,11.5,61,116,67,4,Happy,-2.61,Yes,Premium,44,20.45
U0121,User121,29,Male,151.0,45.0,Muscle Gain,Low,13149,1778,984,49,248.0,68,2.3,8.0,Cardio,62,Balanced,12.8,58,123,94,5,Energetic,1.11,No,Premium,5,19.74
U0122,User122,23,Male,164.0,69.0,Maintain Fitness,Medium,12992,2276,443,69,242.0,22,2.4,4.6,Yoga,82,Balanced,14.3,96,126,74,4,Energetic,-1.28,Yes,Premium,18,25.65
U0123,,40,Female,,,Muscle Gain,Low,4743,2609,284,74,,109,3.0,8.9,,106,Vegan,28.9,73,119,73,5,Happy,-0.99,No,,37,21.84
U0124,,43,Female,,,Maintain Fitness,Low,3040,2844,645,54,,30,2.6,7.7,,133,Balanced,34.0,87,139,76,1,Tired,0.96,Yes,,26,19.37
U0125,User125,36,Female,166.0,69.0,Maintain Fitness,Low,6176,2790,732,75,295.0,25,3.6,3.9,Mixed,61,Balanced,10.7,96,141,94,1,Stressed,-2.66,Yes,Free,34,25.04
U0126,User126,31,Male,183.0,101.0,Maintain Fitness,High,13922,1591,612,98,396.0,58,2.1,7.8,Yoga,44,Vegan,21.7,60,142,94,5,Tired,-1.97,Yes,Free,25,30.16
U0127,User127,56,Female,152.0,98.0,Muscle Gain,Medium,7109,2545,878,68,317.0,100,1.9,4.0,Cardio,115,Vegan,32.1,60,107,82,2,Energetic,-1.7,No,Free,32,42.42
U0128,User128,21,Male,167.0,71.0,Muscle Gain,Medium,11804,3077,1182,32,210.0,89,4.5,4.5,Mixed,101,Keto,8.5,79,124,66,1,Tired,-0.56,Yes,Premium,44,25.46
U0129,User129,32,mal,173.0,90.0,Maintain Fitness,Medium,9420,3749,1192,128,107.0,23,4.0,9.1,Yoga,40,High Protein,18.0,104,136,66,2,Stressed,-2.97,No,Premium,7,30.07
U0130,User130,41,Male,185.0,108.0,Muscle Gain,Low,13710,2996,935,83,147.0,68,1.5,5.7,Mixed,92,High Protein,23.6,67,107,94,2,Stressed,2.86,No,Premium,42,31.56
U0131,User131,31,Male,167.0,47.0,Muscle Gain,High,3485,2763,559,106,258.0,63,1.8,6.4,Strength,90,Vegan,30.8,103,106,92,3,Energetic,1.67,No,Free,15,16.85
U0132,User132,42,Female,175.0,70.0,Muscle Gain,Medium,12382,2391,198,99,305.0,27,2.5,7.5,Mixed,95,High Protein,15.5,103,117,94,3,Tired,-2.47,No,Free,21,22.86
U0133,User133,38,Female,168.0,61.0,Muscle Gain,High,17517,1447,518,60,209.0,23,2.8,9.5,Strength,120,Balanced,9.0,78,105,70,2,Stressed,-0.28,Yes,Premium,44,21.61
U0134,User134,18,Male,155.0,104.0,Weight Loss,Low,11034,2922,1043,130,200.0,105,3.5,6.3,Mixed,88,High Protein,16.4,67,136,69,2,Energetic,-0.91,No,Premium,4,43.29
U0135,User135,47,Male,171.0,69.0,Weight Loss,Low,16019,2366,476,97,334.0,39,2.8,7.8,Yoga,60,High Protein,29.3,69,119,86,2,Energetic,-0.75,No,Free,37,23.6
U0136,User136,29,Male,177.0,48.0,Weight Loss,High,7073,3239,559,66,123.0,93,3.8,7.0,Mixed,138,Vegan,10.0,77,131,68,4,Stressed,0.84,Yes,Premium,3,15.32
U0137,User137,58,Female,170.0,69.0,Maintain Fitness,Low,11123,1573,263,102,103.0,31,4.2,7.4,Cardio,65,High Protein,14.2,91,114,85,1,Happy,1.92,No,Premium,1,23.88
U0138,User138,45,Male,180.0,83.0,Muscle Gain,Low,12401,3427,453,92,373.0,103,3.6,7.2,Strength,111,Keto,32.0,77,106,89,1,Tired,-0.48,No,Premium,5,25.62
